Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA
301,James Maddison,ENG,MF/FW,Leicester City,24,1996,35,28,2459,27.3,12,8,12,0,0,3,0,0.44,0.29,0.73,0.44,0.73,8.2,8.2,4.8,13.0,0.30,0.18,0.48,0.30,0.48
302,Harry Maguire,ENG,DF,Manchester Utd,28,1993,30,28,2515,27.9,1,0,1,0,0,9,1,0.04,0.00,0.04,0.04,0.04,1.7,1.7,0.2,1.9,0.06,0.01,0.07,0.06,0.07
303,Riyad Mahrez,Algeria,FW,Manchester City,30,1991,28,15,1498,16.6,11,5,7,4,5,0,0,0.66,0.30,0.96,0.42,0.72,10.1,6.3,3.7,10.0,0.61,0.22,0.83,0.38,0.60
304,Ainsley Maitland-Niles,ENG,MF,Arsenal,23,1997,8,2,268,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.3,0.4,0.01,0.12,0.13,0.01,0.13
305,Sadio Mané,Senegal,FW,Liverpool,29,1992,34,32,2819,31.3,16,2,16,0,0,5,0,0.51,0.06,0.57,0.51,0.57,16.7,16.7,4.4,21.1,0.53,0.14,0.67,0.53,0.67
306,Javier Manquillo,Spain,DF,Newcastle Utd,27,1994,19,15,1257,14.0,1,2,1,0,0,5,0,0.07,0.14,0.21,0.07,0.21,0.5,0.5,0.3,0.8,0.03,0.02,0.06,0.03,0.06
307,Fernando Marçal,Brazil,DF,Wolves,32,1989,18,17,1449,16.1,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.7,1.2,0.03,0.04,0.08,0.03,0.08
308,Solly March,ENG,DFFW,Brighton,27,1994,31,17,1746,19.4,0,2,0,0,0,1,0,0.00,0.10,0.10,0.00,0.10,1.5,1.5,2.7,4.3,0.08,0.14,0.22,0.08,0.22
309,Pablo Marí,Spain,DF,Arsenal,27,1993,2,2,180,2.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.1,0.4,0.15,0.05,0.21,0.15,0.21
310,Anthony Martial,France,FW,Manchester Utd,25,1995,8,2,212,2.4,1,0,1,0,0,0,0,0.42,0.00,0.42,0.42,0.42,0.4,0.4,0.1,0.6,0.19,0.06,0.25,0.19,0.25
311,Martinelli,Brazil,FW/MF,Arsenal,20,2001,29,21,1860,20.7,6,6,5,1,1,3,1,0.29,0.29,0.58,0.24,0.53,7.2,6.5,3.3,9.8,0.35,0.16,0.51,0.31,0.47
312,Emiliano Martínez,Argentina,GK,Aston Villa,28,1992,36,36,3240,36.0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
313,Adam Masina,MAR,DF,Watford,27,1994,15,13,1077,12.0,0,1,0,0,0,0,0,0.00,0.08,0.08,0.00,0.08,0.4,0.4,0.7,1.1,0.03,0.06,0.09,0.03,0.09
314,Arthur Masuaku,COD,DFFW,West Ham,27,1993,13,6,650,7.2,1,1,1,0,0,1,0,0.14,0.14,0.28,0.14,0.28,0.1,0.1,0.9,1.0,0.01,0.12,0.14,0.01,0.14
315,Juan Mata,Spain,MF,Manchester Utd,33,1988,7,2,235,2.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.2,0.5,0.11,0.06,0.17,0.11,0.17
316,Jean-Philippe Mateta,France,FW,Crystal Palace,24,1997,22,13,1145,12.7,5,1,5,0,0,2,0,0.39,0.08,0.47,0.39,0.47,5.5,5.5,1.3,6.8,0.43,0.11,0.54,0.43,0.54
317,Nemanja Matić,SRB,MF,Manchester Utd,32,1988,23,16,1382,15.4,0,4,0,0,0,3,0,0.00,0.26,0.26,0.00,0.26,0.2,0.2,1.8,1.9,0.01,0.12,0.13,0.01,0.13
318,Joël Matip,CMR,DF,Liverpool,29,1991,31,31,2790,31.0,3,3,3,0,0,2,0,0.10,0.10,0.19,0.10,0.19,3.1,3.1,1.2,4.3,0.10,0.04,0.14,0.10,0.14
319,Neal Maupay,France,FW,Brighton,24,1996,32,25,2276,25.3,8,2,7,1,2,7,0,0.32,0.08,0.40,0.28,0.36,7.7,6.2,2.2,8.4,0.30,0.09,0.39,0.24,0.33
320,Bryan Mbeumo,France,FW,Brentford,21,1999,35,34,2905,32.3,4,7,3,1,1,4,0,0.12,0.22,0.34,0.09,0.31,9.7,9.0,3.6,12.5,0.30,0.11,0.41,0.28,0.39
321,James McArthur,Scotland,MF,Crystal Palace,33,1987,21,15,1439,16.0,0,3,0,0,0,4,0,0.00,0.19,0.19,0.00,0.19,0.3,0.3,1.0,1.4,0.02,0.06,0.08,0.02,0.08
322,James Mcatee,ENG,MF/FW,Manchester City,18,2002,2,0,20,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.19,0.00,0.19,0.19,0.19
323,Kasey McAteer,ENG,FW,Leicester City,19,2001,1,0,3,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
324,Liam McCarron,Scotland,FW,Leeds United,20,2001,1,0,10,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
325,Alex McCarthy,ENG,GK,Southampton,31,1989,17,17,1530,17.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
326,John McGinn,Scotland,MF,Aston Villa,26,1994,35,35,3090,34.3,3,4,3,0,0,8,0,0.09,0.12,0.20,0.09,0.20,1.5,1.5,4.9,6.4,0.04,0.14,0.19,0.04,0.19
327,Stuart McKinstry,Scotland,MF,Leeds United,18,2002,1,0,4,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
328,Kenny McLean,Scotland,MF,Norwich City,29,1992,31,29,2706,30.1,1,0,1,0,0,3,0,0.03,0.00,0.03,0.03,0.03,1.9,1.9,0.7,2.6,0.06,0.02,0.09,0.06,0.09
329,Dwight McNeil,ENG,MF,Burnley,21,1999,38,35,3107,34.5,0,1,0,0,0,1,0,0.00,0.03,0.03,0.00,0.03,2.3,2.3,4.8,7.1,0.07,0.14,0.21,0.07,0.21
330,Scott McTominay,Scotland,MF,Manchester Utd,24,1996,30,28,2387,26.5,1,1,1,0,0,9,0,0.04,0.04,0.08,0.04,0.08,1.5,1.5,1.8,3.3,0.06,0.07,0.12,0.06,0.12
331,Ben Mee,ENG,DF,Burnley,31,1989,21,21,1839,20.4,3,0,3,0,0,3,0,0.15,0.00,0.15,0.15,0.15,1.8,1.8,0.1,1.9,0.09,0.00,0.09,0.09,0.09
332,Hannibal Mejbri,TUN,FW,Manchester Utd,18,2003,2,1,68,0.8,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.12,0.00,0.12,0.12,0.12
333,Benjamin Mendy,France,DF,Manchester City,27,1994,1,1,78,0.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.3,0.3,0.00,0.30,0.30,0.00,0.30
334,Edouard Mendy,Senegal,GK,Chelsea,29,1992,34,34,3060,34.0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
335,Nampalys Mendy,Senegal,MF,Leicester City,29,1992,14,12,1032,11.5,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
336,Illan Meslier,France,GK,Leeds United,21,2000,38,38,3384,37.6,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
337,Luka Milivojević,SRB,MF,Crystal Palace,30,1991,15,9,774,8.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.8,1.0,0.03,0.09,0.12,0.03,0.12
338,James Milner,ENG,MF/DF,Liverpool,35,1986,24,9,853,9.5,0,1,0,0,0,2,0,0.00,0.11,0.11,0.00,0.11,0.3,0.3,2.2,2.4,0.03,0.23,0.26,0.03,0.26
339,Yerry Mina,Colombia,DF,Everton,26,1994,13,11,846,9.4,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.3,0.03,0.00,0.03,0.03,0.03
340,Takumi Minamino,JPN,FW/MF,Liverpool,26,1995,11,1,186,2.1,3,0,3,0,0,1,0,1.45,0.00,1.45,1.45,1.45,1.8,1.8,0.5,2.3,0.88,0.25,1.13,0.88,1.13
