,Date,City,State,Dead,Injured,Total,Description,Year
371,2021-12-31,Capitol Heights,Maryl,0,4,4,An adult and three juveniles were wounded in an evening shooting.,2021
372,2021-12-31,Los Angeles,California,0,6,6,Six shoppers were wounded at a grocery supermarket by two black male shooters.,2021
373,2021-12-31,Gulfport,Mississippi,4,3,7,"During an outdoor New Year's Eve party, a physical fight started escalated to a shooting, with multiple people firing guns.",2021
374,2021-12-30,Philadelphia,Pennsylvania,0,6,6,Six shooters opened fire on a busy street with six wounded.,2021
375,2021-12-30,Kirksville,Missouri,2,2,4,An adult and infant were killed and two adults wounded in an afternoon shooting.,2021
376,2021-12-27,Mobile,Alabama,1,3,4,A man was killed and three others wounded at a local gas station.,2021
377,2021-12-27,Youngstown,Ohio,1,3,4,A man was killed and three others were wounded at a local apartment complex.,2021
378,2021-12-27,Denver  and Lakewood,Colorado,6,2,8,A gunman went on a shooting spree across multiple locations in the Denver metropolitan area before dying in a shootout with police.,2021
379,2021-12-26,Garland,Texas,3,1,4,Three teenagers were killed and a fourth wounded in a convenience store.,2021
380,2021-12-26,Buffalo,New York,0,4,4,Four adults were wounded inside a pop-up store.,2021
381,2021-12-26,Clear Brook,Virginia,1,4,5,"Four people were wounded at a rest stop, and the shooter fled before police arrived. The shooter was later found dead.",2021
382,2021-12-26,Fayette,Mississippi,0,7,7,Seven people were wounded at a party in the early morning. An 18-year-old was later arrested.,2021
383,2021-12-26,Philadelphia,Pennsylvania,0,4,4,Four people were wounded in a drive by shooting in North Philadelphia.,2021
384,2021-12-25,Lafayette,Louisiana,0,4,4,Four people were wounded near a Waffle House in the early morning.,2021
385,2021-12-24,New York City,New York,0,4,4,Four men were wounded outside a Brooklyn deli shortly before midnight.,2021
386,2021-12-24,Roswell,Georgia,1,3,4,A woman was arrested after killing one and wounding three in a domestic incident at an apartment.,2021
387,2021-12-24,Swissvale,Pennsylvania,0,6,6,"Six people were found wounded in a local home, with one identified as the potential shooter.",2021
388,2021-12-19,Brooklyn,Illinois,1,3,4,One man was killed and three others were wounded in a shooting across the street from a strip club.,2021
389,2021-12-17,Baltimore,Maryl,1,4,5,A man was killed and four people wounded in Penn North.,2021
390,2021-12-17,Portsmouth,Virginia,0,4,4,Four adults were wounded in the early morning at a gentleman's club.,2021
391,2021-12-17,Baltimore,Maryl,1,3,4,One person was killed and three wounded in Upton.,2021
392,2021-12-16,Troy,Alabama,0,4,4,Four people were wounded in an afternoon shooting.,2021
393,2021-12-13,Fresno,California,0,4,4,Police were alerted to four wounded by gunfire after an argument escalated through a shotspotter alert.,2021
394,2021-12-13,Philadelphia,Pennsylvania,0,4,4,"Four adults were wounded in Kengsington, they were found by patrolling police.",2021
395,2021-12-13,Durham,North Carolina,2,4,6,"Six people in an SUV were shot at in the early morning, causing the SUV to crash. Two adults were killed and four juveniles wounded.",2021
396,2021-12-12,Baytown,Texas,1,14,15,One person was killed and fourteen others wounded in a drive-by shooting at a memorial vigil in Baytown for another shooting victim.,2021
397,2021-12-12,Woodbridge,Virginia,0,4,4,Three security guards and a bystander were shot by a gunman at a nightclub.,2021
398,2021-12-12,Bolton,Mississippi,0,6,6,Six people were wounded at local sports bar in the early morning.,2021
399,2021-12-12,Tampa,Florida,0,5,5,"Five people were wounded in the early morning, a suspect was arrested days later.",2021
400,2021-12-11,River Grove,Illinois,1,3,4,"Four adults were shot at a bowling alley at approximately 1 AM, killing a 23-year-old man.",2021
401,2021-12-10,Lansing,Michigan,1,3,4,"Three teenagers and a baby were shot while in a car near an intersection, killing a 17-year-old girl.",2021
402,2021-12-10,Orlando,Florida,0,5,5,Five people were shot in a drive-by shooting in the Callahan neighborhood.,2021
403,2021-12-10,Charlotte,North Carolina,0,5,5,Five people were shot in the Grier Heights neighborhood.,2021
404,2021-12-09,Beloit,Wisconsin,1,5,6,"Responding officers found one person killed and two wounded, with an additional two wounded found at the hospital.",2021
405,2021-12-06,Philadelphia,Pennsylvania,0,4,4,Three men and a teenager were wounded in Brewerytown.,2021
406,2021-12-05,El Paso,Texas,1,3,4,"A fight broke out in the parking lot of a bar, after a group was ejected. It escalated, with bystanders attempting to intervene. A man walked up and shot at the bystanders killing one and wounding three.",2021
407,2021-12-05,Detroit,Michigan,2,2,4,"Four men were shot by a gunman, two of whom succumbed to their injuries.",2021
408,2021-12-03,Memphis,Tennessee,2,2,4,Two teenagers were killed and a teenager and an infant were wounded in a drive-by shooting at a gas station.,2021
409,2021-12-02,Elizabeth City,North Carolina,3,3,6,Responding officers found two adults and a child killed and three adults wounded.,2021
410,2021-11-30,Rex,Georgia,4,2,6,Responding officers to a domestic incident were shot at by the suspect. The suspect had killed two women and wounded a child previously. An officer and the suspect were killed and another officer was wounded.,2021
411,2021-11-30,Oxford,Michigan,4,7,11,"Oxford High School shooting: A 15-year-old student opened fire at Oxford High School initially killing three students and wounding seven others and a teacher, before being arrested. One of the wounded died a day later. The suspect was charged with four counts of murder and seven counts of attempted murder while his parents, who bought him the gun used in the shooting as an early Christmas present, were charged with four counts of involuntary manslaughter.",2021
412,2021-11-28,Philadelphia,Pennsylvania,0,4,4,Four people were wounded in an evening shooting in Kingsessing.,2021
413,2021-11-28,Lancaster,California,5,0,5,A man killed his four children and his mother in law in their home. He turned himself in to police an hour later and was charged with five counts of murder.,2021
414,2021-11-28,Aurora,Colorado,0,5,5,Five youths were wounded in a shooting.,2021
415,2021-11-28,Baltimore,Maryl,0,7,7,Responding police found six adults and a teenager wounded in East Baltimore.,2021
416,2021-11-28,Evanston,Illinois,1,4,5,A teenager was killed and four others wounded at a gas station.,2021
417,2021-11-27,Newark,New Jersey,1,3,4,A teenager was killed and three others were wounded after men in a car opened fire in the South Ward.,2021
418,2021-11-26,Nashville,Tennessee,3,4,7,"Home invaders killed two teenagers and wounded their mother, two teenage siblings and an adult sibling. One of the assailants was also killed.",2021
419,2021-11-25,San Antonio,Texas,2,2,4,Two men were killed and two others wounded in a believed targeted drive-by shooting. Eyewitnesses are not cooperating with police.,2021
420,2021-11-25,Green Sea,South Carolina,0,4,4,Four people were wounded and transported to the hospital in private vehicles.,2021
421,2021-11-23,Lehigh Acres,Florida,0,4,4,Four people were wounded after a large party was ending. Police believe it connected to another incident near a local hospital.,2021
422,2021-11-23,Marshall,Texas,1,3,4,A man was killed and three others wounded shortly before noon. A suspect was arrested.,2021
423,2021-11-22,Warsaw,North Carolina,2,2,4,Two men were killed and two juveniles were wounded while in a vehicle outside an apartment complex.,2021
424,2021-11-21,Baton Rouge,Louisiana,1,4,5,A man was killed and four others were wounded in the parking lots of a local club.,2021
425,2021-11-21,Passaic,New Jersey,0,5,5,Four adults and one child were shot during a backyard party.,2021
426,2021-11-20,Berwyn,Illinois,0,4,4,Four people were wounded at a local bar in the early morning.,2021
427,2021-11-20,Fresno,California,2,2,4,Two men were killed and two wounded at an apartment complex.,2021
428,2021-11-18,Cambridge,Maryl,1,3,4,"One teen was killed, and three other teens were wounded in two separate but related shootings on the same block.",2021
429,2021-11-17,Chicago,Illinois,0,4,4,Four people were wounded in a drive-by shooting shortly after midnight on the Near West Side.,2021
430,2021-11-17,East St. Louis,Illinois,1,3,4,A man was killed and three others wounded in an afternoon shooting.,2021
431,2021-11-17,New York City,New York,0,4,4,Two adults and two teens were wounded in a potentially targeted drive-by in Williamsbridge.,2021
432,2021-11-17,Newburgh,New York,0,4,4,Four teens were shot during a gunfight near a high school.,2021
433,2021-11-15,Aurora,Colorado,0,6,6,Six teenagers were wounded in a drive-by shooting at a park located across from a high school.,2021
434,2021-11-15,New York City,New York,0,4,4,Four men were shot outside of a bodega in Harlem.,2021
435,2021-11-14,Chiloquin,Oregon,2,2,4,"Four people were shot, two of the victims fatally. A man from Klamath Falls was arrested and charged with murder.",2021
436,2021-11-14,Tucson,Arizona,4,1,5,"Four men arrived at a trailer park and confronted a homeowner and a guest, leading to the homeowner shooting and killing the four men and the guest being injured by the four attackers.",2021
437,2021-11-14,Troy,Alabama,1,5,6,A man was killed and five others wounded at a gas station in the early morning.,2021
438,2021-11-14,Columbia,Missouri,1,5,6,"Two men opened fire at each other at a lounge, wounding five. One of the shooters was killed by responding police.",2021
439,2021-11-14,Philadelphia,Pennsylvania,0,6,6,"Three men and three women were shot, one man critically.",2021
440,2021-11-13,Houma,Louisiana,0,4,4,"Four people were wounded at a high school homecoming after-party, after multiple attendees began shooting.",2021
441,2021-11-13,Winston-Salem,North Carolina,0,4,4,Four people were wounded after several people opened fire at a party.,2021
442,2021-11-12,Richmond,Virginia,2,2,4,Two children were killed and two adults wounded on the East End.,2021
443,2021-11-12,Birmingham,Alabama,2,2,4,"Two wounded were found outside a vehicle, where two were found deceased in the backseat. Several weapons were found in the vehicle.",2021
444,2021-11-09,Rochester,New York,0,4,4,Four teenagers were wounded in an evening shooting.,2021
445,2021-11-09,Scotland,South Dakota,3,2,5,Three adults were killed and an adult and child were wounded after an argument escalated inside a home.,2021
446,2021-11-09,Killona,Louisiana,1,4,5,A man was killed and three adults and a teenager wounded in an ambush-style shooting outside a grocery store.,2021
447,2021-11-08,Philadelphia,Pennsylvania,0,4,4,Three teenagers and an adult were wounded after three of them exited a local store in Feltonville and were chased down the street.,2021
448,2021-11-07,Kenosha,Wisconsin,1,3,4,A man was killed and three others wounded in the early morning.,2021
449,2021-11-06,Oakley,California,2,2,4,Two people were killed and two wounded at a family birthday party.,2021
450,2021-11-06,Marshall,Texas,0,6,6,Six people were wounded in the early morning at a large community event.,2021
451,2021-11-06,Highland,California,0,4,4,"Shortly after midnight a man opened fire at a local bar, wounding four.",2021
452,2021-11-05,Oakland,California,1,3,4,A man was killed and three wounded in a drive-by shooting in East Oakland.,2021
453,2021-11-03,Norfolk,Virginia,3,2,5,A man killed three women and wounded two in a targeted domestic dispute. One of the wounded was targeted and the others attempted to help her.,2021
454,2021-11-03,Des Moines,Iowa,0,4,4,Four people were wounded in an evening shooting a block away from a middle school.,2021
455,2021-11-02,Mobile,Alabama,0,4,4,A woman shot and wounded four in a bowling alley after a fight escalated.,2021
456,2021-11-01,Orlando,Florida,0,4,4,"After an online dispute, a person shot four people in Downtown Orlando.",2021
457,2021-11-01,San Antonio,Texas,0,4,4,Four people were wounded in an evening drive-by on the West Side.,2021
458,2021-10-31,Louisville,Kentucky,2,2,4,Two cousins working as security were shot and killed. Two others were wounded.,2021
459,2021-10-31,Flossmoor,Illinois,1,3,4,Four people were shot just after midnight on Halloween.,2021
460,2021-10-31,Lakewood,Colorado,2,2,4,"Four people were shot, two fatally.",2021
461,2021-10-31,Houston,Texas,1,9,10,A woman was shot and killed and nine injured at a large Halloween party of hundred people.,2021
462,2021-10-31,Joliet,Illinois,2,12,14,Two people were killed and several wounded after two men opened fire on a Halloween party.,2021
463,2021-10-31,Fort Worth,Texas,1,3,4,An 18-year-old was arrested after killing a man and wounding three others in a drive-by shooting.,2021
464,2021-10-30,Sacramento,California,2,5,7,Two people were killed and five injured at a Halloween party that was held at a local banquet hall.,2021
465,2021-10-30,Decatur,Illinois,0,4,4,Four people were wounded at a large house party in the early morning.,2021
466,2021-10-30,Texarkana,Texas,1,9,10,A man was killed and several people wounded after a shooting at a Halloween party.,2021
467,2021-10-30,Oklahoma City,Oklahoma,0,4,4,Four people were wounded in a residential area in the early morning.,2021
468,2021-10-30,St. Petersburg,Florida,1,4,5,A man was killed and four others wounded at an outdoor boxing match at the Skyway Plaza.,2021
469,2021-10-30,Gilroy,California,1,3,4,One person was killed and three wounded after a shooting at a house party. The party occurred at the home of a Gilroy councilwoman.,2021
470,2021-10-29,Kalamazoo,Michigan,0,4,4,Four people were shot at a party inside an event center.,2021
471,2021-10-29,Poughkeepsie,New York,0,5,5,Three people were wounded at a birthday party and two more were wounded as the tour bus transporting some of the wounded was later shot at.,2021
472,2021-10-28,Las Vegas,Nevada,0,4,4,Four people were wounded after an argument in an alley escalated.,2021
473,2021-10-28,Nashville,Tennessee,1,3,4,A man was killed and three wounded in a suspected robbery shortly before midnight.,2021
474,2021-10-25,Boise,Idaho,3,4,7,"Two people, including a security guard, were shot and killed at a mall, and four others were wounded. The shooter was injured by responding officers and died the next day after being taken into custody.",2021
475,2021-10-25,Memphis,Tennessee,0,4,4,Three teenagers and an adult were wounded after a shooting near an elementary school.,2021
476,2021-10-24,Gonzales,California,2,2,4,"Two people were killed, and two others injured at an off-roading event.",2021
477,2021-10-24,Crenshaw,Mississippi,2,3,5,Two people were killed and three injured in a shooting on Jones Street.,2021
478,2021-10-23,Fort Valley,Georgia,1,7,8,A man was killed and seven others wounded at an off-campus party about two blocks from Fort Valley State University.,2021
479,2021-10-23,Florence,South Carolina,0,6,6,Six people were wounded in an early morning shooting at a local bar.,2021
480,2021-10-23,Ontario,California,1,4,5,A teenager was killed and one adult and three juveniles wounded at a Halloween party.,2021
481,2021-10-22,Renton,Washington,0,4,4,Four people were wounded in the parking lot of a banquet hall that was hosting a Halloween party.,2021
482,2021-10-22,Baltimore,Maryl,0,7,7,Five adults and two teenagers were wounded in a drive-by shooting.,2021
483,2021-10-22,Chicago,Illinois,0,5,5,Five people were wounded outside a Chatham liqueur store when a man opened fire and then fled.,2021
484,2021-10-21,New York City,New York,0,4,4,A gunman exited a subway station and shot four people in the Flatbush section of Brooklyn.,2021
485,2021-10-21,Tacoma,Washington,4,0,4,Three adults were killed and a fourth later died at the hospital in a night time shooting.,2021
486,2021-10-20,Farwell,Michigan,4,0,4,"A woman shot and killed her father, sister and two workers at their home in the afternoon.",2021
487,2021-10-19,Kenosha,Wisconsin,3,2,5,"A man killed his roommate's teenage daughter and her boyfriend, and wounded his roommate and her 14-year-old son. He later killed himself.",2021
488,2021-10-17,Grambling,Louisiana,1,7,8,A person was killed and seven others wounded at Grambling State University during a homecoming event in the early morning.,2021
489,2021-10-17,Houston,Texas,0,5,5,Responding officers found an SUV in a ditch with bullet holes and blood near Winzer Park. Four adults and a juvenile were later identified at local hospitals although none had reached out to police.,2021
490,2021-10-17,Jackson,Mississippi,3,3,6,Three people were killed and three injured after a man opened fire inside a night club.,2021
491,2021-10-17,Pine Bluff,Arkansas,1,7,8,"Gunfire erupted at a party hall wounding eleven and killing one, responding police opened fire on a man holding a gun and wounded him.",2021
492,2021-10-17,Racine,Wisconsin,0,6,6,Six people were wounded at a one-year anniversary vigil for a man killed in the location. Neighbors refused to cooperate with police due to fear of retaliation.,2021
493,2021-10-17,Colorado Springs,Colorado,0,5,5,Five people were wounded outside a local bar after an unknown number of people opened fire.,2021
494,2021-10-17,Pine Bluff,Arkansas,0,4,4,Responding officers found four people wounded and shell casings around a car in the intersection.,2021
495,2021-10-17,St. Louis,Missouri,1,3,4,A 19-year-old was killed and three teenagers were wounded in the early morning in the Baden neighborhood.,2021
496,2021-10-16,Killeen,Texas,1,3,4,Four people were wounded in the parking lot of a club in the early morning. One of the wounded died two days later.,2021
497,2021-10-15,Mobile,Alabama,0,5,5,Five people were wounded at a high school football game.,2021
498,2021-10-14,Minneapolis,Minnesota,1,4,5,Responding police found five people wounded in Ventura Village. One of the wounded later died at the hospital.,2021
499,2021-10-12,Meridian,Mississippi,3,1,4,Three adults were killed in a home and an infant was found wounded.,2021
500,2021-10-12,Naples,Florida,1,5,6,A man was killed and three others wounded after two shooters opened fire on a Naples Park home. The shooters were also wounded.,2021
501,2021-10-11,South Fulton,Georgia,0,6,6,"Three wounded were found by responding officers, a fourth flagged down officers and two others were found at local hospitals.",2021
502,2021-10-10,Dover,Delaware,1,4,5,A man was killed and four others wounded after a drive-by shooting at a house party in the early morning.,2021
503,2021-10-10,Chicago,Illinois,1,4,5,A man was killed and four others injured in an early morning drive-by outside a Wicker Park nightclub.,2021
504,2021-10-10,Sioux City,Iowa,0,4,4,Four bystanders were wounded at an after hours club in an early morning targeted shooting.,2021
505,2021-10-10,McColl,South Carolina,2,3,5,Two people were killed and three injured in a shooting near a nightclub.,2021
506,2021-10-10,Saint Paul,Minnesota,1,14,15,One person was killed and 14 injured in a shootout at a bar.,2021
507,2021-10-09,Dallas,Texas,0,4,4,Three 18-year-olds and a 16-year-old were wounded in South Dallas.,2021
508,2021-10-09,Denver,Colorado,1,3,4,Responding officers found one man killed and three wounded.,2021
509,2021-10-09,Livingston,Louisiana,2,4,6,Two people were killed and three others wounded after a man went on a multi-parish shooting spree. He was later arrested with a self-inflicted gunshot wound and a dog bite.,2021
510,2021-10-09,Albany,New York,1,6,7,Responding officers found one man deceased and six wounded were later found in local hospitals.,2021
511,2021-10-08,Baltimore,Maryl,0,4,4,Four men were wounded in Southeast Baltimore in the afternoon.,2021
512,2021-10-08,Washington D.C.,Washington D.C.,1,3,4,"Responding police discovered a deceased man and another wounded, with two more identified at local hospitals.",2021
513,2021-10-07,Chicago,Illinois,0,4,4,Two teenagers and two adults were wounded in the early morning after someone opened fire on another car on the Near North Side.,2021
514,2021-10-07,Milwaukee,Wisconsin,0,5,5,Five people were wounded when a police officer opened fire on an armed suspect who returned fire before he fled the area.,2021
515,2021-10-07,Milwaukee,Wisconsin,3,1,4,Three adults were killed and another wounded after two men came back thirty minutes after an argument over parking and opened fire.,2021
516,2021-10-06,Cleveland,Ohio,0,4,4,Four adults were wounded at a music studio shortly before midnight.,2021
517,2021-10-06,Baltimore,Maryl,1,5,6,A woman was killed and five people were wounded in East Baltimore.,2021
518,2021-10-06,New Orleans,Louisiana,1,3,4,A man was killed and three others wounded after four people exited a vehicle and opened fire on them. The victims were doing work in a parking lot behind a church.,2021
519,2021-10-05,Rockford,Illinois,1,3,4,Responding police found four injured due to an evening shooting and one later died at the hospital.,2021
520,2021-10-05,Saint Paul,Minnesota,0,4,4,A teen shot four people inside a vehicle at an intersection.,2021
521,2021-10-04,Minneapolis,Minnesota,0,4,4,Three men and a juvenile were wounded at a local gas station.,2021
522,2021-10-03,Bishopville,South Carolina,1,4,5,A man was killed and four others wounded in an early morning drive by shooting at a Waffle House.,2021
523,2021-10-02,Aurora,Colorado,1,3,4,"A man was killed and two adults and a teenager were wounded at an early morning hotel party,",2021
524,2021-10-02,San Antonio,Texas,1,3,4,A man was killed and two adults and a teenager wounded at an apartment complex.,2021
525,2021-10-01,Washington D.C.,Washington D.C.,1,5,6,Five adults were wounded and one killed in Southwest D.C. late at night.,2021
526,2021-10-01,Cedar Rapids,Iowa,0,6,6,Five adults and a teenager were wounded after an argument at a hotel birthday party celebration escalated.,2021
527,2021-09-29,Chicago,Illinois,0,5,5,Five bystanders were wounded when passengers of two separate cars opened fire on one another while driving down a Fulton River District road.,2021
528,2021-09-28,Minneapolis,Minnesota,1,3,4,A man was fatally shot and three others injured in a gunfire incident on Bloomington Avenue in the Phillips neighborhood.,2021
529,2021-09-28,Chicago,Illinois,1,3,4,A woman was killed and three others injured in the early morning after a man opened fire on a car in Park Manor.,2021
530,2021-09-27,Chicago,Illinois,1,3,4,A man was killed and two adults and a teenager wounded in Humboldt Park on the Northwest Side.,2021
531,2021-09-27,New York City,New York,0,5,5,A man opened fire outside a club in Inwood in Upper Manhattan wounding four. Responding officers opened fire and wounded him.,2021
532,2021-09-26,Des Moines,Washington,3,3,6,Two groups of people began fighting in a bar and others joined in as it spilled into the parking lot. Some fighters got into cars and opened fire while driving away killing three and wounding three others.,2021
533,2021-09-26,Chicago,Illinois,0,6,6,Six adults were wounded in East Garfield Park on the West Side in the early morning.,2021
534,2021-09-26,Oakland,California,0,4,4,Four people including a teenager were wounded in East Oakland.,2021
535,2021-09-25,Athens,Tennessee,4,0,4,Two adults arrived at a home and engaged in an argument with the four adults there over a 10-month old. The dispute escalated and the four adults living at the home were killed and the two suspects kidnapped the child.,2021
536,2021-09-25,Riverside,California,0,6,6,Shortly after midnight six people were wounded at a large house party.,2021
537,2021-09-25,Chattanooga,Tennessee,2,5,7,Responding police found two adults killed and four adults and a child wounded.,2021
538,2021-09-25,Utica,New York,0,4,4,Four men were wounded in the early morning.,2021
539,2021-09-24,Los Angeles,California,0,4,4,Four people were wounded at the Rosa Parks Metro Station in Willowbrook.,2021
540,2021-09-24,Aiken,South Carolina,4,1,5,A man murdered his parents and sister and wounded another sibling before committing suicide.,2021
541,2021-09-23,Collierville,Tennessee,2,14,16,"Collierville Kroger shooting: A worker at a third-party venue inside the store opened fire in a Kroger, killing one and injuring 14, before taking his own life.",2021
542,2021-09-23,Philadelphia,Pennsylvania,0,4,4,Four men were wounded in the Mantua neighborhood.,2021
543,2021-09-22,Fayetteville,North Carolina,2,2,4,Two teenagers were killed and two others injured in a home invasion. Three days earlier a relative of the two deceased had been killed in another home.,2021
544,2021-09-21,Washington D.C.,Washington D.C.,0,5,5,"A man opened fire and wounded four adults and one child near Alabama Avenue, Southeast.",2021
545,2021-09-20,St. Louis,Missouri,1,3,4,"A man was killed and three others wounded while at a vigil for another homicide victim, when a group of people opened fire from a black SUV.",2021
546,2021-09-20,El Monte,California,1,4,5,"A man was killed and four others wounded, with the deceased found behind the wheel of a vehicle.",2021
547,2021-09-20,Philadelphia,Pennsylvania,1,5,6,A man was killed and five others injured in a drive-by shooting in the Fern Rock neighborhood.,2021
548,2021-09-19,Miami,Florida,0,4,4,"During an argument one of the victims pulled out her gun and pointed it at the ground, after things calmed down she put it away and began to enter a car with her husband, and two children. The man she was arguing with opened fire once they got to the car, wounding her, her husband and two children.",2021
549,2021-09-19,Dallas,Texas,2,4,6,Two adults were killed and three others and a teenager wounded shortly after midnight when a man opened fire.,2021
550,2021-09-19,Oakland,California,1,3,4,A man was killed and three others wounded in the early morning while outside a club.,2021
551,2021-09-19,Chicago,Illinois,0,5,5,"Five people were wounded while sitting on a porch in Austin during the early morning, after two men exited a vehicle and opened fire.",2021
552,2021-09-19,Rochester,New York,2,2,4,"Two people were killed and two injured after someone shot down an alley at a group standing outside, who were attending a party. The shooting occurred on the anniversary of a similar mass shooting in 2020.",2021
553,2021-09-19,Yemassee,South Carolina,1,7,7,After an argument escalated someone opened fire shortly after midnight killing one adult and wounding one adult and seven children.,2021
554,2021-09-18,Opelousas,Louisiana,0,5,5,Five family members were injured after a gunman opened fire on their mobile home at night.,2021
555,2021-09-18,Danville,Illinois,2,2,4,Two people were killed and two wounded at a liquor store in the early morning.,2021
556,2021-09-18,New York City,New York,1,3,4,"A man was killed and three others wounded at a BBQ at Claremont Park in the Bronx, after an argument escalated.",2021
557,2021-09-18,New York City,New York,0,4,4,Four people were shot outside a club in the East Flatbush area of Brooklyn after a dispute.,2021
558,2021-09-17,Augusta,Georgia,0,4,4,Four people were wounded in the early morning at a night club. Two men were later arrested.,2021
559,2021-09-14,Baltimore,Maryl,0,4,4,Three teenagers and a boy were injured in a shooting.,2021
560,2021-09-14,Cleveland,Ohio,0,6,6,Six people were wounded after an incident at a liquor store escalated.,2021
561,2021-09-13,Milwaukee,Wisconsin,0,5,5,Five people were wounded in a shooting at a candlelight vigil near the intersection in Sherman Park. The vigil was held for a 16-year-old who was killed at the same intersection earlier that day.,2021
562,2021-09-12,Saint Paul,Minnesota,4,0,4,"An SUV with four deceased adults was found in a local cornfield in Wheeler, Wisconsin. It was discovered later that the four victims were shot in Saint Paul following an argument at a bar with the shooter. The perpetrator's father followed his son in a vehicle on the way to Wheeler and then gave his son a ride home after his son abandoned the SUV in the cornfield.",2021
563,2021-09-12,Temple,Texas,0,4,4,Four people were found wounded from a shooting.,2021
564,2021-09-12,Detroit,Michigan,2,4,6,Two women were killed and four others wounded in a drive-by shooting that targeted a family birthday party.,2021
565,2021-09-12,Blue Island,Illinois,2,2,4,"Three people were found wounded on the street by police, and a fourth victim was located after he fled to the hospital. Two of the victims perished at the hospital.",2021
566,2021-09-11,Chicago,Illinois,1,5,6,A woman was killed and four adults and a teenager wounded in a West Pullman drive-by while walking as a group.,2021
567,2021-09-11,Dothan,Alabama,0,5,5,Five teenagers were wounded at a party at a local shopping center.,2021
568,2021-09-11,Utica,New York,0,4,4,Responding officers found four men wounded.,2021
569,2021-09-11,Paterson,New Jersey,0,4,4,Responding officers discovered two wounded from an early morning shooting. Two others arrived were identified at the hospital.,2021
570,2021-09-11,Chicago,Illinois,1,3,4,A man was killed and three others injured in South Side drive-by shooting.,2021
571,2021-09-10,Orlando,Florida,0,4,4,"Deputies were called after a man got drunk and fired shots into the air. He then opened fire on the security guard and officers, before driving down the road, getting into a car accident and opening fire on those in the car. He wounded the security guards and three in the vehicle.",2021
572,2021-09-09,East St. Louis,Illinois,0,7,7,Six adults and a child were wounded in a drive-by shooting. The suspects attempted to flee the area but were hit by a MetroLink train.,2021
573,2021-09-09,Montgomery,Alabama,1,3,4,Responding officers found one child deceased and two adults and another child injured.,2021
574,2021-09-08,St. Louis,Missouri,0,4,4,Four people were wounded after two men got into an argument after one was seen arguing and pistol whipping a woman.,2021
575,2021-09-07,Wilmington,Delaware,0,4,4,Four people were wounded in a local park in the Southbridge neighborhood after a drive-by shooting.,2021
576,2021-09-07,Wichita,Kansas,1,5,6,"After getting kicked out of a night club shortly after midnight, a man opened fire killed a man and wounded five women.",2021
577,2021-09-06,Atlanta,Georgia,0,5,5,"A man opened fire after an argument at a local Black Pride festival, wounding five.",2021
578,2021-09-05,Houston,Texas,4,0,4,Firefighters discovered a husband and wife and two children deceased when responding to a house fire. Family members believe the family had been dead for days before the fire.,2021
579,2021-09-05,Cincinnati,Ohio,0,4,4,"Three adults and a teenager were wounded after an argument outside a Mt. Washington home. The victims went inside, before the suspect fired through the door.",2021
580,2021-09-05,Lakeland,Florida,4,2,6,"A former Marine sharpshooter shot and killed three adults, an infant, and a dog and wounded a child inside and outside a home, before engaging in a shootout with police. The shooter was eventually injured in the gunfight and then apprehended.",2021
581,2021-09-05,Athens,Georgia,0,7,7,A man fired into a crowd of people that were fighting in the early morning. He wounded seven and turned himself in the next day.,2021
582,2021-09-05,Detroit,Michigan,0,4,4,Four men were injured in a shooting outside a rollerskating rink on Eight Mile Road in the west side.,2021
583,2021-09-05,Wyatt,Missouri,0,4,4,Four adults were wounded at a family car show after two men opened fire on the crowd in suspected gang violence.,2021
584,2021-09-05,New York City,New York,0,4,4,Four adults were wounded outside a catering hall in the Bronx after an argument escalated.,2021
585,2021-09-05,Independence,Missouri,0,4,4,An adult and three teenagers were wounded at a local festival after two people got into an argument and one opened fire.,2021
586,2021-09-04,Monroe,Louisiana,1,3,4,"Responding officers found four people injured, with one later dying at the hospital.",2021
587,2021-09-04,Washington D.C.,Washington D.C.,3,3,6,"Six people were found injured in Northwest DC, with three later dying at a hospital.",2021
588,2021-09-04,Birmingham,Alabama,2,2,4,Two people were killed and two injured after an argument inside a strip mall store escalated. Three people were arrested and one went on the run.,2021
589,2021-09-04,Pittsburgh,Pennsylvania,0,4,4,A teenager shot four people on the street in Homewood South.,2021
590,2021-09-04,Chicago,Illinois,0,5,5,Five people were injured in a drive-by shooting in Lawndale shortly after midnight.,2021
591,2021-09-04,Warner Robins,Georgia,1,4,5,A teenager was killed and four others injured while attending a block party.,2021
592,2021-09-03,Syracuse,New York,0,4,4,Four adults were wounded in an early morning shooting during an outdoor party.,2021
593,2021-09-03,New Iberia,Louisiana,1,3,4,"One person was killed and three injured outside a shoe store in a strip mall, after two men exited a car and opened fire.",2021
594,2021-09-03,Austin,Texas,1,3,4,A woman was killed and three others injured in an apartment complex close to US Highway 290 in East Austin.,2021
595,2021-09-02,Niagara Falls,New York,0,4,4,Four people were wounded after shooters opened fire on them across the street while they were standing outside a deli.,2021
596,2021-08-31,Elm City,North Carolina,2,2,4,A man killed one person and wounded two others before kidnapping a woman and infant. He later killed the woman and left the baby alive in the stolen vehicle and is still on the run.,2021
597,2021-08-30,Normal,Illinois,3,3,6,"A man killed two people and wounded three others in a mobile home park, before being killed by responding police.",2021
598,2021-08-29,Las Vegas,Nevada,1,3,4,Three adults were wounded and one was killed near Rainbow Boulevard.,2021
