,Date,City,State,Dead,Injured,Total,Description,Year
2332,2018-06-09,Boston,Massachusetts,0,4,4,Four people were injured in a shooting at a house party.,2018
2333,2018-06-05,Jacksonville,Florida,3,1,4,Three men were killed and a fourth was injured after a car pulled up alongside theirs and the occupant began shooting.,2018
2334,2018-06-04,Scottsdale,Arizona,7,0,7,"2018 Scottsdale shootings: Over the course of several days , a man killed a forensic psychologist, two paralegals, a counselor, and a couple from whom he took a handgun. The suspect killed himself when police began closing in on him.",2018
2335,2018-06-03,Chicago,Illinois,1,3,4,One person was killed and three others were wounded by two gunmen in a drive-by shooting.,2018
2336,2018-06-03,Dallas,Texas,0,5,5,"After an argument at a football game, a man drove a moped into the middle of the field and began to fire a gun. Multiple people then began firing at the shooter. Five people were injured in the exchange of gunshots.",2018
2337,2018-06-02,Buffalo,New York,0,5,5,Five people were injured in a shooting at an outdoor gathering.,2018
2338,2018-06-02,Omaha,Nebraska,1,6,7,One person was killed and six others were injured in a shooting. A suspect was taken into custody.,2018
2339,2018-05-31,Timmonsville,South Carolina,3,2,5,"A man killed a woman and two of her daughters, and injured her husband and her third daughter, when he shot them at their home. He has been arrested.",2018
2340,2018-05-27,Shreveport,Louisiana,0,4,4,Four people were injured in a shooting on the bank of the Red River.,2018
2341,2018-05-27,Aurora,Colorado,1,3,4,A fight in a nightclub spilled into the parking lot and resulted in a shooting that killed one person and injured three others.,2018
2342,2018-05-25,Cincinnati,Ohio,0,4,4,A shooting broke out after a man tried to rob a group of people playing dice. Four people were injured by gunshots. Two men were arrested.,2018
2343,2018-05-20,Hazlehurst,Mississippi,1,7,8,"Two suspects fired shots into a nightclub, killing one person and wounding seven others.",2018
2344,2018-05-20,Anderson,Indiana,0,4,4,Four people were wounded in a shooting at a block party.,2018
2345,2018-05-18,Santa Fe,Texas,10,14,24,"Santa Fe High School shooting: A student at Santa Fe High School shot and killed ten people and wounded fourteen others. Explosive devices were also found, but they were not detonated. The suspect was taken into custody by police.",2018
2346,2018-05-16,Ponder,Texas,5,1,6,A man wounded his ex-wife and killed their three children and his ex-wife's boyfriend before killing himself in a murder–suicide.,2018
2347,2018-05-14,Baltimore,Maryl,0,4,4,Four men were wounded in a shooting near a playground.,2018
2348,2018-05-13,Stockton,California,3,2,5,"A shooter fired into a home, killing a five-year-old girl and her parents, and wounding two other family members.",2018
2349,2018-05-13,Byhalia,Mississippi,0,4,4,"A man opened fire at a block party, possibly after a fight over a dice game, wounding four people. The suspect was arrested.",2018
2350,2018-05-13,Los Angeles,California,2,2,4,A man killed one teenage boy and wounded three others. One of the wounded boys died in the hospital several days later.,2018
2351,2018-05-12,Omaha,Nebraska,0,7,7,Seven people were wounded in a shooting.,2018
2352,2018-05-12,Paulsboro,New Jersey,0,4,4,Four people were injured by gunfire in a shooting following a fight at a birthday party.,2018
2353,2018-05-11,Talihina,Oklahoma,1,4,5,"Four police officers were injured in a shootout while trying to execute a search warrant, either by gunfire or from shrapnel from explosives in the home. The suspect was killed.",2018
2354,2018-05-11,St. Louis,Missouri,0,4,4,Two children and two adults were injured when shooters fired at them from two cars.,2018
2355,2018-05-09,Omaha,Nebraska,0,4,4,Four people were injured in a suspected drive-by shooting outside an apartment complex.,2018
2356,2018-05-09,St. Louis,Missouri,0,4,4,Four people were wounded in a shooting.,2018
2357,2018-05-07,San Diego,California,0,5,5,Two men approached a group of people and wounded four people. A fifth victim was shot and wounded several blocks away. Police believe the first attack was gang-related.,2018
2358,2018-05-06,Stillwater,Oklahoma,0,4,4,"After a fight and theft from the bar and a tip jar, private security shut down a party. As the guests left, several weapons were fired and four people were injured.",2018
2359,2018-05-06,Memphis,Tennessee,2,4,6,Two people were killed and four were injured after they were shot while traveling in a car by a gunman in another car.,2018
2360,2018-05-05,Columbus,Georgia,0,5,5,Five people were injured in a shooting. A suspect was arrested.,2018
2361,2018-05-04,Henderson,North Carolina,0,4,4,Four people were injured in a shooting.,2018
2362,2018-05-04,Chicago Heights,Illinois,0,4,4,A shooting at a house party wounded four people.,2018
2363,2018-05-02,Chicago,Illinois,1,4,5,"A man shot at a group of people from a car, killing one and wounding four. He and the driver of the car were later arrested.",2018
2364,2018-05-02,New York City,New York,1,4,5,One person was killed and four were wounded following a shooting outside of a Brooklyn apartment complex.,2018
2365,2018-05-02,Minneapolis,Minnesota,0,6,6,Six people were wounded after guns were fired following an argument at a housing complex. Three people were arrested.,2018
2366,2018-05-01,New Orleans,Louisiana,0,5,5,Five people were injured in a shooting.,2018
2367,2018-04-30,Pompano Beach,Florida,0,4,4,A man pulled out a gun after being punched during an after-party at a club and wounded four people.,2018
2368,2018-04-30,Washington,District of Columbia,0,4,4,Four people were injured in a drive-by shooting.,2018
2369,2018-04-29,Wartburg,Tennessee,0,4,4,A man shot and wounded two people at an apartment complex. Two more people were wounded by gunfire while trying to disarm the shooter. The shooter was arrested.,2018
2370,2018-04-29,Bryn Mawr-Skyway,Washington,2,2,4,Two people were killed and two others were injured in a shooting in a parking lot outside a motorcycle club.,2018
2371,2018-04-29,Monroe,North Carolina,1,3,4,A man killed one person and wounded three others in a shooting. He was later arrested by police.,2018
2372,2018-04-29,West Palm Beach,Florida,1,3,4,A man killed one person and injured three others in a shooting at a nightclub. He was later arrested by police.,2018
2373,2018-04-28,Maxton,North Carolina,0,5,5,Five were injured in a shooting following an argument at a party.,2018
2374,2018-04-25,Pine Bluff,Arkansas,0,4,4,Four people were injured after men stepped out of a truck and began shooting at them.,2018
2375,2018-04-25,St. Louis,Missouri,3,1,4,Three people were killed and one was wounded after being shot in a home. A suspect was later taken into custody by police.,2018
2376,2018-04-24,Flint,Michigan,0,4,4,Four people were injured in a shooting.,2018
2377,2018-04-22,Nashville,Tennessee,4,2,6,"Nashville Waffle House shooting: A gunman entered a Waffle House, where he killed four people and injured two others. He was later taken into custody.",2018
2378,2018-04-22,New Orleans,Louisiana,1,5,6,"After a domestic issue, a man went on a shooting spree that resulted in one death and five people being injured by gunfire. The man was arrested.",2018
2379,2018-04-21,Philadelphia,Pennsylvania,2,2,4,A man killed two people and wounded two others after being kicked out of a party.,2018
2380,2018-04-20,San Francisco,California,1,5,6,"A gunman shot six men standing near each, killing one and injuring five.",2018
